E_ele,M_ele
0.14524225065278337,0.012195121949732303
0.15540776141229062,0.012195121949732303
0.14524241588201278,0.012195121949732303
0.12505795550928975,0.0124999999984375
0.010659679602780331,0.012195121949732303
0.028212637190893963,0.012195121949732303
0.010659915248291204,0.012195121949732303
0.02821378374504832,0.012195121949732303
0.010660271463662503,0.012195121949732303
0.1376269679127254,0.012195121949732303
0.12729179239243207,0.012195121949732303
0.15540789869448884,0.012195121949732303
0.1430542910718713,0.012195121949732303
0.14524221981613986,0.012658227846498959
0.007182568210730178,0.012195121949732303
0.007862313101058116,0.012195121949732303
0.005307885122406821,0.012195121949732303
0.006644590263495969,0.012195121949732303
0.014733688731631478,0.012658227846498959
0.0064880326117146715,0.01639344262026337
0.007958326847379245,0.019999999996
0.0080609991956031,0.039999999984
0.008384982081650285,0.03703703702331961
0.008911335251556482,0.05555555552469135
0.008472722066782783,0.05882352937716263
0.010344683665789141,0.0
0.008601921383283166,0.0
0.01086332289762047,0.0
0.008601931705743431,0.0
0.0965315722921272,0.0
0.010026336294213388,0.0
0.06363188893043036,0.0
0.018109012086318918,0.0
E_ele,M_ele
0.14524232665543776,0.012195121949732303
0.15540742099564475,0.012195121949732303
